id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child,AgeGroup,TypeofContactNULL,Motivation,EconomicPower
0,50,Self Enquiry,2,6.803505257608338,Large Business,male,1.0,4.0,Basic,3.0,5.0,1,4,Executive,12.44471939876448,1,Single,No Car,0_child,50s,0,14.0,32.356270436787646
1,56,Company Invited,1,6.734591659972948,Salaried,male,1.0,4.0,Standard,3.0,2.0,1,4,Senior Manager,12.910347681211167,0,Divorced,Has Car,0_child,50s,0,14.0,50.35035595672356
2,35,Self Enquiry,1,6.398594934535208,Large Business,female,1.0,3.0,Basic,3.0,4.0,0,4,Executive,12.535901434670214,1,Married,No Car,0_child,30s,0,3.0,37.60770430401064
3,37,Self Enquiry,2,6.985641817639208,Small Business,female,1.0,3.0,Standard,4.0,1.0,0,5,Senior Manager,12.697122001652566,0,Divorced,Has Car,0_child,30s,0,3.0,25.394244003305133
4,48,Company Invited,3,6.928537818164665,Small Business,female,1.0,3.0,Basic,4.0,4.0,0,4,Executive,12.462403360072058,1,Single,Has Car,0_child,40s,0,3.0,12.462403360072058
5,19,Self Enquiry,2,6.8679744089702925,Small Business,male,1.0,3.0,Basic,3.0,2.0,0,4,Executive,12.468440756144114,0,Single,No Car,0_child,10s,0,3.0,32.417945965974695
6,47,Company Invited,3,6.734591659972948,Small Business,male,1.0,3.0,Deluxe,4.0,4.0,0,4,AVP,13.024046883161828,0,Single,Has Car,0_child,40s,0,3.0,16.931260948110378
7,49,Self Enquiry,2,7.186144304522325,Small Business,male,1.0,3.0,Basic,3.0,8.0,0,4,Executive,12.475721848739754,0,Married,No Car,0_child,40s,0,3.0,32.43687680672336
8,33,Company Invited,2,7.090909822079984,Large Business,female,1.0,3.0,Basic,3.0,4.0,0,4,Executive,12.420381283681548,1,Single,No Car,0_child,30s,0,3.0,24.840762567363097
9,31,Company Invited,1,6.493753839851686,Large Business,male,1.0,3.0,Basic,3.0,2.0,0,3,Senior Manager,12.459205974163991,0,Married,Has Car,0_child,30s,0,3.0,48.590903299239564
10,51,Company Invited,1,6.734591659972948,Small Business,female,1.0,3.0,Standard,3.0,4.0,0,3,Senior Manager,12.771105165022036,0,Single,Has Car,0_child,50s,0,3.0,38.31331549506611
11,46,Self Enquiry,1,6.8679744089702925,Small Business,male,1.0,3.0,Deluxe,4.0,24.0,0,3,AVP,12.939476060598356,0,Divorced,Has Car,0_child,40s,0,3.0,50.46395663633359
12,49,Company Invited,1,7.560601162768557,Small Business,female,1.0,3.0,Deluxe,3.0,4.0,0,3,AVP,13.076436709513366,0,Single,Has Car,0_child,40s,0,3.0,39.2293101285401
13,51,Self Enquiry,2,6.928537818164665,Small Business,female,1.0,3.0,Deluxe,4.0,5.0,0,4,AVP,12.994532278619134,0,Married,Has Car,0_child,50s,0,3.0,25.98906455723827
14,53,Company Invited,2,6.734591659972948,Small Business,female,1.0,3.0,Basic,3.0,1.0,0,3,Executive,12.611541086966117,1,Single,Has Car,0_child,50s,0,3.0,25.223082173932234
15,20,Self Enquiry,1,7.273092595999522,Small Business,female,1.0,3.0,Basic,3.0,8.0,0,4,Executive,12.443773720051366,1,Single,Has Car,0_child,20s,0,3.0,37.3313211601541
16,25,Company Invited,2,7.2305631534092925,Small Business,male,1.0,3.0,Basic,3.0,1.0,0,3,Executive,12.463041612288444,1,Single,No Car,0_child,20s,0,3.0,32.40390819194996
17,53,Self Enquiry,2,7.650168700845001,Small Business,male,1.0,3.0,Deluxe,3.0,4.0,0,3,AVP,13.122365377402328,1,Single,Has Car,0_child,50s,0,3.0,34.118149981246056
18,20,Company Invited,2,6.042632833682381,Small Business,female,1.0,3.0,Standard,3.0,1.0,1,3,Senior Manager,12.899222326086994,0,Married,No Car,0_child,20s,0,13.0,25.798444652173988
19,44,Company Invited,2,5.707110264748875,Small Business,male,1.0,3.0,Deluxe,3.0,1.0,1,4,AVP,12.564606859953823,0,Married,No Car,0_child,40s,0,13.0,32.66797783587994
20,30,Self Enquiry,1,6.175867270105761,Salaried,male,1.0,3.0,Standard,3.0,2.0,0,3,Senior Manager,13.02860419418272,0,Single,No Car,0_child,30s,0,3.0,50.811556357312604
21,34,Company Invited,2,6.8679744089702925,Salaried,female,1.0,3.0,Basic,3.0,2.0,0,4,Executive,12.482628045510204,0,Divorced,Has Car,0_child,30s,0,3.0,24.965256091020407
22,29,Company Invited,1,6.175867270105761,Salaried,female,1.0,3.0,Basic,3.0,1.0,0,3,Executive,12.478866942987851,1,Divorced,No Car,0_child,20s,0,3.0,37.436600828963556
23,56,Company Invited,2,6.803505257608338,Salaried,male,1.0,3.0,Deluxe,3.0,1.0,0,3,AVP,12.97448034808874,0,Married,Has Car,0_child,50s,0,3.0,33.733648905030726
24,30,Self Enquiry,2,6.8679744089702925,Salaried,male,1.0,3.0,Basic,3.0,2.0,0,4,Executive,12.430319587884537,0,Divorced,Has Car,0_child,30s,0,3.0,32.31883092849979
25,41,Company Invited,2,7.0,Salaried,male,1.0,3.0,Deluxe,3.0,1.0,0,4,Manager,12.622629347194833,0,Married,No Car,0_child,40s,0,3.0,32.818836302706565
26,39,Self Enquiry,1,7.0,Salaried,female,1.0,3.0,Deluxe,3.0,1.0,0,4,Manager,12.456231962482343,0,Single,Has Car,0_child,30s,0,3.0,37.36869588744703
27,50,Company Invited,1,6.734591659972948,Salaried,male,1.0,3.0,Standard,3.0,2.0,0,3,Senior Manager,12.818392018639724,0,Single,Has Car,0_child,50s,0,3.0,49.99172887269492
28,52,Self Enquiry,1,6.928537818164665,Salaried,male,1.0,3.0,Deluxe,3.0,4.0,0,3,AVP,13.031138043246484,0,Married,Has Car,0_child,50s,0,3.0,50.82143836866129
29,22,Self Enquiry,2,6.398594934535208,Salaried,male,1.0,3.0,Basic,3.0,1.0,0,4,Executive,12.46414308934512,1,Single,No Car,0_child,20s,0,3.0,32.40677203229731
30,36,Company Invited,2,6.803505257608338,Salaried,female,1.0,3.0,Deluxe,3.0,1.0,1,3,Manager,12.665650237042165,0,Married,No Car,0_child,30s,0,13.0,25.33130047408433
